"sample_date","time_point","read_date","id","storage_condition","dilution_factor","sample_vol_uL","plaque_count"
"2021-11-11","T5","2021-11-12","10R2U","10","1000","300","76"
"2021-11-11","T5","2021-11-12","10R2U","10","10000","300","4"
"2021-11-11","T5","2021-11-12","10R2U","10","1e+05","300","0"
"2021-11-11","T5","2021-11-12","20R1F","20","10","300","43"
"2021-11-11","T5","2021-11-12","20R1F","20","100","300","1"
"2021-11-11","T5","2021-11-12","20R1F","20","1000","300","0"
"2021-11-11","T5","2021-11-12","20R1F","20","10000","300","0"
"2021-11-11","T5","2021-11-12","20R2F","20","1","300","TNTC"
"2021-11-11","T5","2021-11-12","20R2F","20","10","300","TNTC"
"2021-11-11","T5","2021-11-12","20R2F","20","100","300","152"
"2021-11-11","T5","2021-11-12","20R2F","20","1000","300","22"
"2021-11-11","T5","2021-11-12","20R2F","20","10000","300","3"
"2021-11-11","T5","2021-11-12","20R2F","20","1e+05","300","0"
"2021-11-11","T5","2021-11-12","20R1U","20","10","300","0"
"2021-11-11","T5","2021-11-12","20R1U","20","100","300","0"
"2021-11-11","T5","2021-11-12","20R1U","20","1000","300","0"
"2021-11-11","T5","2021-11-12","20R1U","20","10000","300","0"
"2021-11-11","T5","2021-11-16","20R1U","20","1","300","108"
"2021-11-11","T5","2021-11-16","20R2U","20","1","300","TNTC"
"2021-11-11","T5","2021-11-12","20R2U","20","10","300","63"
"2021-11-11","T5","2021-11-12","20R2U","20","100","300","3"
"2021-11-11","T5","2021-11-12","20R2U","20","1000","300","0"
"2021-11-11","T5","2021-11-12","20R2U","20","10000","300","0"
"2021-11-11","T5","2021-11-12","neg_ecoli_only","NA","1","300","0"
"2021-11-11","T5","2021-11-12","15C1N","15","1","300","0"
"2021-11-15","T7","2021-11-16","15R1F","15","1","300","TNTC"
"2021-11-15","T7","2021-11-16","15R1F","15","10","300","TNTC"
"2021-11-15","T7","2021-11-16","15R1F","15","100","300","216"
"2021-11-15","T7","2021-11-16","15R1F","15","1000","300","44"
"2021-11-15","T7","2021-11-16","15R2F","15","1","300","TNTC"
"2021-11-15","T7","2021-11-16","15R2F","15","10","300","TNTC"
"2021-11-15","T7","2021-11-16","15R2F","15","100","300","312"
"2021-11-15","T7","2021-11-16","15R2F","15","1000","300","20"
"2021-11-15","T7","2021-11-16","15R1U","15","1","300","TNTC"
"2021-11-15","T7","2021-11-16","15R1U","15","10","300","241"
"2021-11-15","T7","2021-11-16","15R1U","15","100","300","121"
"2021-11-15","T7","2021-11-16","15R2U","15","1","300","TNTC"
"2021-11-15","T7","2021-11-16","15R2U","15","10","300","TNTC"
